
77|16|1728|l|150|100|100|50|73|6|85|23|250|350|450|650
88|26|913|m|100|0|70|30|99|0|65|31|150|0|250|400
82|51|2310|l|150|100|100|50|24|36|32|47|250|350|450|650
88|77|509|m|100|0|70|30|28|0|3|7|150|0|250|400
51|68|2235|l|150|100|100|50|25|100|71|44|250|350|450|650
64|73|1186|l|150|100|100|50|108|91|71|24|250|350|450|650
87|46|2160|l|150|100|100|50|92|10|17|16|250|350|450|650
11|71|2587|l|150|100|100|50|76|44|5|40|250|350|450|650
55|42|1393|l|150|100|100|50|104|69|87|4|250|350|450|650
7|70|2943|l|150|100|100|50|124|89|15|50|250|350|450|650
3|17|887|m|100|0|70|30|37|0|16|2|150|0|250|400
51|56|2561|l|150|100|100|50|99|6|17|43|250|350|450|650
22|47|2757|l|150|100|100|50|88|98|59|36|250|350|450|650
39|37|194|s|50|0|0|0|49|0|0|0|100|0|0|0
63|66|1674|l|150|100|100|50|27|45|59|51|250|350|450|650
12|57|2210|l|150|100|100|50|25|54|14|25|250|350|450|650
78|100|1495|l|150|100|100|50|135|8|28|26|250|350|450|650
47|14|2432|l|150|100|100|50|132|34|48|24|250|350|450|650
34|88|2352|l|150|100|100|50|75|99|1|16|250|350|450|650
76|12|1441|l|150|100|100|50|27|73|58|22|250|350|450|650
28|72|1462|l|150|100|100|50|121|83|101|26|250|350|450|650
90|92|1651|l|150|100|100|50|25|4|48|19|250|350|450|650
95|68|1214|l|150|100|100|50|36|96|73|35|250|350|450|650
69|85|2383|l|150|100|100|50|50|76|90|19|250|350|450|650
9|63|1131|l|150|100|100|50|96|46|6|51|250|350|450|650
57|101|1813|l|150|100|100|50|9|16|47|29|250|350|450|650
35|80|359|s|50|0|0|0|1|0|0|0|100|0|0|0
58|89|1096|l|150|100|100|50|118|49|74|10|250|350|450|650
56|53|865|m|100|0|70|30|64|0|20|1|150|0|250|400
45|18|1162|l|150|100|100|50|101|74|9|35|250|350|450|650
64|72|248|s|50|0|0|0|22|0|0|0|100|0|0|0
32|76|445|s|50|0|0|0|47|0|0|0|100|0|0|0
66|54|2380|l|150|100|100|50|15|7|62|8|250|350|450|650
75|34|533|m|100|0|70|30|9|0|4|17|150|0|250|400
73|37|1045|l|150|100|100|50|140|13|89|7|250|350|450|650
93|36|2236|l|150|100|100|50|117|61|51|23|250|350|450|650
35|56|776|m|100|0|70|30|77|0|17|7|150|0|250|400
29|51|1699|l|150|100|100|50|151|60|15|37|250|350|450|650
81|81|1570|l|150|100|100|50|76|22|94|16|250|350|450|650
69|46|48|s|50|0|0|0|14|0|0|0|100|0|0|0
35|79|1580|l|150|100|100|50|85|29|48|16|250|350|450|650
33|30|1935|l|150|100|100|50|87|73|35|48|250|350|450|650
89|86|1741|l|150|100|100|50|97|45|11|24|250|350|450|650
84|73|2611|l|150|100|100|50|33|72|70|49|250|350|450|650
21|8|983|m|100|0|70|30|29|0|22|7|150|0|250|400
9|75|1926|l|150|100|100|50|60|74|43|40|250|350|450|650
25|84|2820|l|150|100|100|50|92|91|84|4|250|350|450|650
76|84|1416|l|150|100|100|50|85|91|95|29|250|350|450|650
63|31|2779|l|150|100|100|50|34|90|48|42|250|350|450|650
39|10|607|m|100|0|70|30|78|0|26|10|150|0|250|400
80|39|2053|l|150|100|100|50|109|10|44|44|250|350|450|650
34|67|1952|l|150|100|100|50|119|18|57|33|250|350|450|650
32|75|1182|l|150|100|100|50|127|80|80|6|250|350|450|650
50|72|521|m|100|0|70|30|22|0|68|23|150|0|250|400
95|12|2338|l|150|100|100|50|10|72|74|46|250|350|450|650
2|51|1326|l|150|100|100|50|140|42|71|21|250|350|450|650
88|99|2802|l|150|100|100|50|7|24|5|10|250|350|450|650
88|65|282|s|50|0|0|0|28|0|0|0|100|0|0|0
101|96|2319|l|150|100|100|50|117|79|73|50|250|350|450|650
93|16|2948|l|150|100|100|50|137|45|6|36|250|350|450|650
78|68|1657|l|150|100|100|50|20|11|88|36|250|350|450|650
23|56|498|s|50|0|0|0|24|0|0|0|100|0|0|0
55|100|535|m|100|0|70|30|29|0|46|31|150|0|250|400
42|50|395|s|50|0|0|0|1|0|0|0|100|0|0|0
84|61|876|m|100|0|70|30|96|0|2|2|150|0|250|400
39|64|448|s|50|0|0|0|25|0|0|0|100|0|0|0
70|35|23|s|50|0|0|0|38|0|0|0|100|0|0|0
101|72|160|s|50|0|0|0|49|0|0|0|100|0|0|0
56|19|1368|l|150|100|100|50|147|45|5|13|250|350|450|650
18|43|770|m|100|0|70|30|8|0|57|3|150|0|250|400
74|23|1577|l|150|100|100|50|90|61|85|10|250|350|450|650
62|37|1526|l|150|100|100|50|122|72|90|1|250|350|450|650
32|60|271|s|50|0|0|0|47|0|0|0|100|0|0|0
54|17|90|s|50|0|0|0|50|0|0|0|100|0|0|0
42|49|2589|l|150|100|100|50|32|55|52|41|250|350|450|650
90|90|2367|l|150|100|100|50|34|8|70|15|250|350|450|650
75|98|2221|l|150|100|100|50|105|54|4|37|250|350|450|650
20|50|334|s|50|0|0|0|23|0|0|0|100|0|0|0
76|21|903|m|100|0|70|30|31|0|52|10|150|0|250|400
26|16|2716|l|150|100|100|50|39|36|80|27|250|350|450|650
76|83|2440|l|150|100|100|50|138|4|39|17|250|350|450|650
85|38|2146|l|150|100|100|50|109|74|27|29|250|350|450|650
57|78|2182|l|150|100|100|50|148|34|53|39|250|350|450|650
11|30|1348|l|150|100|100|50|59|32|45|38|250|350|450|650
12|99|2185|l|150|100|100|50|52|93|12|44|250|350|450|650
89|95|2662|l|150|100|100|50|45|61|47|23|250|350|450|650
13|26|2920|l|150|100|100|50|112|51|91|32|250|350|450|650
27|71|840|m|100|0|70|30|39|0|50|5|150|0|250|400
12|46|1044|l|150|100|100|50|133|24|101|37|250|350|450|650
34|93|1595|l|150|100|100|50|57|76|1|44|250|350|450|650
86|97|343|s|50|0|0|0|47|0|0|0|100|0|0|0
81|62|737|m|100|0|70|30|18|0|69|20|150|0|250|400
61|73|1030|l|150|100|100|50|23|48|46|45|250|350|450|650
2|94|1162|l|150|100|100|50|62|14|28|50|250|350|450|650
